Skill,Skill Definition,Skill Type
Contract Management ,"Contract management negotiates the terms and conditions of contracts systematically and efficiently by managing contract creation, execution, and analysis for the purpose of maximizing financial and operational performance and minimizing risk.",Technical
Contract Negotiation,Contract Negotiation is a strategic communication that drives mutual understanding and agreement to parties that are involved with a legally binding agreement under review.,Technical
Corporate Finance,"Corporate finance, a branch of finance, is concerned with the capital structure of corporations, actions that can increase shareholder value, and the allocation of financial resources.",Technical
Corporate Security,Corporate security identifies and effectively mitigates threats to the resilience and continued survival of a corporation.,Technical
Corporate Strategy,Corporate strategy is comprised of an organization's goals and policies which indicate how those goals will be attained.,Technical
Corporate Sustainability,"Corporate Sustainability is an approach aiming to create stakeholder value through the implementation of a business strategy that focuses on ethical, social, environmental, and economic responsibilities.",Technical
Creating Shareholder Value,Creating shareholder value means earning a higher return on invested capital than the capital's cost resulting in a profit.,Technical
Creative Strategies,Creative Strategies refers to knowledge of creating an intentional plan that details how a company will meet its objectives and goals.,Technical
Creative Thinking,Creative thinking results in a new approach to finding a solution.,Behavioral
Creativity,Creativity is the use of the imagination and original ideas in the production of work.,Behavioral
Crisis Communications,Crisis communication raises awareness of a threat describing the impact and action to reduce negative impact.,Technical
Curriculum Development,Curriculum development is the creation of course materials specific to the subject that requires training or knowledge transfer and student group.,Technical
Customer Analysis,"Analyzes available customer data and understands their preferences, needs, and decision-making to support business decisions, marketing, and customer relationship management so that customers are acquired and retained.",Technical
Customer Analytics,"Capability to systematically collect, analyze, interpret, and apply customer-related data to derive actionable insights, optimize marketing strategies, improve customer satisfaction, and drive business growth.",Technical
Customer Support,"Customer support is a range of services used to help clients make cost-effective and correct use of a product or service. Regarding products, it involves assistance in planning, installation, training, troubleshooting, maintenance, upgrading, and disposal.",Technical
Customs Broking,"Customs Broking is managing the movement of imported and exported goods across borders, ensuring that all regulatory and legal requirements are met, that documentation is submitted, and that taxes and fees are paid.",Technical
Customs Regulations,Customs Regulations are laws that govern the exchange of goods in and out of a country.,Technical
Cyber Risk,"Capability to develop, implement, oversee, or support the monitoring of security breaches or information technology failures that could expose the organization's business information and communications to prevent experiencing negative financial, operational, or reputational consequences.",Technical
Cyber Security Strategy,"Capability to develop, implement, oversee, or support an approach or method to protect the organization's systems and information from digital attacks inside and outside the organization, and to mitigate risk from actual occurrences.",Technical
Cyber Threat Intelligence,Cyber threat intelligence is valuable information about threats and threat actors that helps mitigate harmful events in cyberspace.,Technical
Data & Records Management,"Data management involves organizing data to avoid having duplicate records, incorrect information and wasted storage space. It includes policies and procedures to ensure an organization's data is easily accessible, accurate, consistent and properly secured. Records management is the management of information in an organization throughout its life cycle, from the time of creation or receipt to its eventual disposition.",Technical
Data Entry,Data entry is clerical work that involves entering information into digital and physical mediums.,Technical
Data Integration,Data integration entails the combination of previously separate data sources to create a richer dataset.,Technical
Data Integrity,"Data integrity is the accuracy, completeness, and quality of data as it’s maintained over time and across formats.",Technical
Data Management,"Data management involves organizing data to avoid having duplicate records, incorrect information and wasted storage space. It includes policies and procedures to ensure an organization's data is easily accessible, accurate, consistent and properly secured.",Technical
Data Modeling,"Capability to design and create a conceptual representation of data structures, relationships, and rules within a database or information system to support efficient data organization, storage, retrieval, and analysis, meeting organization or project needs.",Technical
Data Movement Tools,"Knowledge of data movement tools; ability to utilize tools to move (including extract, transform and load) an organization's electronic data.",Technical
"Data Visualization
(Tableau, PowerBI, Excel, etc.)",Data visualization involves producing images that succinctly communicate information and relationships present in a given dataset.,Technical
Data Warehousing,Data warehousing is the secure electronic storage of company's information to create a trove of historical data to support business operations with useful insights.,Technical
Debugging,"Capability to identify, isolate, and resolve issues or defects in software code or applications, including analyzing code, logs, and other relevant information to pinpoint the root cause of problems and applying corrective measures to fix to ensure software functions correctly and reliably.",Technical
Derivatives,"Derivatives are financials contracts that derives their value from the performance of underlying assets, groups of assets, or benchmarks. ",Technical
Design For Manufacturability,"Design For Manufacturability is the process of designing parts, components or products for ease of manufacturing with an end goal of making a better product at a lower cost by streamlining, optimizing and refining the product design.",Technical
Design Thinking,Design thinking starts with the customer needs and uses a process to solve problems with those needs as the priority.,Technical
Digital Transformation,"Digital transformation is the adoption of digital technology to transform services or businesses by replacing manual, non-digital or physical processes. ",Technical
Diplomacy,Capacity to manage relationships and influence decisions through open dialogue and negotiation.,Behavioral
Direct Marketing,"Direct Marketing refers to knowledge of promotion strategies that present targeted information about your company, product, or service to consumers identified as likely buyers.",Technical
Discretion,Discretion is the ability to make the judgement call of keeping internal business and data private and confidential. ,Behavioral
Dispute Resolution,Dispute resolution is the process of resolving issues among parties.,Technical
Diversity Strategies,Diversity Strategies are a type of corporate workforce strategy that intends to increase the number of minorities and people of different cultures and backgrounds in the organization.,Technical
Drafting,"The process of writing documents in a clear, concise, and legally accurate manner.",Technical
Due Diligence,Due diligence is the investigation or exercise of care that a reasonable business or person is normally expected to take before entering into an agreement or contract with another party or an act with a certain standard of care.,Technical
Editing,"Editing is the process of correcting, condensing, organizing, or making other modifications to produce high quality, accurate content.",Technical
Educational Technologies,"Educational technology is the use of computer hardware, software, and best practices for the purposes of education.",Technical
Email Marketing,Email marketing is the act of sending targeted messages to either potential or current customers using an email service.,Technical
Emergency Procedures,"Capability to effectively respond, take appropriate actions, understand protocols, stay calm under pressure, assess risks, and swiftly implement measures to ensure safety and minimize harm in various emergency situations.",Technical
Employee Engagement,Employee engagement is a concept in the effort to understand and enhance the relationship between an organization and its employees.,Technical
Employee Relations,"Employee relations is a function within an organization's Human Resources or Legal functions tasked with developing workplace policies around employee conduct, investigating allegations of improper conduct, handling employee grievances and resolving disputes between employees or employees and management.",Technical
Employee Relations Investigations,Employee Relations Investigations are corporate procedures to resolve workplace disputes by researching a complaint filed that centers around rule and policy violations or employee misconduct.,Technical
Engineering Design Process,Engineering design process is a series of steps that engineers use to create functional products and processes.,Technical
Engineering Drawings & Computer Aided Design,"Engineering drawing is a type of technical drawing with required specifications and measurements; Computer-aided design is the use of software applications to facilitate the creation, modification, analysis, or optimization of a design. (Relevant Tools: Altium Designer, AutoCAD, 3D Modeling, SolidWorks)",Technical
Enterprise Resource Planning,Enterprise resource planning (ERP) refers to software that makes systems used in different departments accessible through one application with one interface.,Technical
Environment Health And Safety,"Environment, health and safety is a discipline that studies and implements practical aspects of environmental protection and safety at work.",Technical
Environmental Compliance,"Environmental compliance entails adherence to environmental laws, regulations and standards.",Technical
Environmental Laws,Environmental law encompasses all aspects of law that protect the environment.,Technical
Environmental Science,"Environmental science is an interdisciplinary academic field of science that studies the environment by leveraging knowledge from physical, biological, and information sciences.",Technical
Ergonomics,"Ergonomics is the application of human factors to the engineering and design of products, systems, and processes to lessen human error, boost productivity, and improve safety.",Technical
ETL Process,"ETL Process refers to the knowledge of the extraction, transformation and loading (ETL) process; ability to develop ETL processes and pipelines to efficiently process data.",Technical
Event Planning,"Event Planning is the application of project management knowledge to budget management, vendor coordination, scheduling, and other event-specific tasks such as venue selection, seating arrangement, and specific decoration/themes to successfully coordinate meetings, conventions, and other events.",Technical
Executive Information Systems,Executive information system is a type of management support system that facilitates and supports senior executive information and decision-making needs.,Technical
Export Administration Regulations,"Export Administration Regulations (EAR) refers to knowledge of United States Commerce Department rules that govern the movement of products, technology, and software out of and into the US.",Technical
External Reporting,External Reporting is an objective review of the financial statements of a company.,Technical
Facilitation,"Capability to guide and manage group workshops or meetings to ensure productive, engaging, and collaborative sessions.",Behavioral
Facility Operations,"Facility Operations is the management and administration of an office, department, and/or an agency in accordance with the organization's objectives and best practices and standards in place to meet productivity and efficiency standards.",Technical
Federal Aviation Regulations,Federal Aviation Regulations are rules prescribed by the Federal Aviation Administration governing all aviation activities in the United States.,Technical
File Management,"File Management refers to knowledge of methods and tools for organizing, storing, and retrieving collections of documents or data.",Technical
Financial Analysis,Financial analysis is the process of evaluating finance-related data to provide insight for business initiatives and to drive decisions ,Behavioral
Financial Modeling,"Financial modeling is the process to represent a company's costs and income to use in representing valuations, results, or forecast potential cash flows.",Technical
Financial Planning,Financial planning is the task of determining how a business will afford to achieve its strategic goals and objectives.,Technical
Financial Statement Analysis,Financial Statement Analysis refers to knowledge of the process of reviewing and assessing the written record of a company’s business activities and performance to guide decisions on future economic activities and strategy.,Technical
Forecasting,Forecasting is the process of making predictions of the future based on past and present data and analysis of trends.,Technical
Freight Forwarding,"Freight forwarding is the process of arranging the export of goods from suppliers to customers by providing exporters with all necessary documentation, and communicate with transportation companies and customs officials.",Technical
Fuel Distribution Logistics ,"Fuel Distribution Logistics deals with the processes and actions involved in getting products or commodities from a manufacturer or supplier to the end user for fuel transfer activities such as fueling, defueling, and draining of aircraft, fueling vehicles, fuel storage tanks and motor vehicles.",Technical
Fuel Facility Operations,"Fuel Facility Operations is the management and administration of an office, department, and/or an agency in accordance with the organization's objectives and best practices and standards in place to meet productivity and efficiency standards for fuel transfer activities such as fueling, defueling, and draining of aircraft, fueling vehicles, fuel storage tanks and motor vehicles.",Technical
Functional Testing,Functional testing is black-box testing that is part of the quality assurance process to test and verify application functionality against criteria defined in functional requirements.,Technical
General Ledger,"A general ledgers a bookkeeping tool that serves as a central repository for accounting data transferred from all sub ledgers like accounts payable, accounts receivable, cash management, fixed assets, purchasing and projects.",Technical
Generally Accepted Accounting Principles,Generally Accepted Accounting Principles (GAAP) is the knowledge of procedures and practices issued by the United States Financial Accounting Standards Board that a public company must follow when compiling financial statements.,Technical
Global Mobility,Global Mobility refers to the knowledge of strategy and execution of moving employees across international borders.,Technical
Goal-Oriented,Capacity to maintain focus and commitment to set objectives.,Behavioral
Governance,"Governance refers to the rules, policies, controls and resolutions put in place to dictate appropriate business practices.",Technical
Hardware Configuration Management,"Capability to effectively manage and control the hardware components and configurations within a computer system or network environment, including documenting and tracking specifications, settings, and changes made to hardware devices, ensuring consistency, reliability, and optimal performance throughout the system's lifecycle.",Technical
Harmonized Tariff Schedule,Harmonized Tariff Schedule refers to knowledge of a set of standardized international codes used to classify goods in order to determine custom duties for imports and exports.,Technical
Hedging,Hedging refers to knowledge of an investment strategy to mitigate potential financial losses by purchasing investments expected to perform opposite of an existing portfolio.,Technical
Human Resources Information System (HRIS),"Capability to utilize a technology platform for managing human resources processes such as employee data management, payroll processing, benefits administration, time and attendance tracking, performance management, and recruitment to streamline operations, improve data accuracy, and enhance decision-making.",Technical
Human Resources Policies,"Knowledge of the rules and guidelines that govern employees in a workplace; including but not limited to, acceptable behavioral standards, employee expectations, disciplinary and operating procedures.",Technical
Ideation,"Capacity to creatively produce, refine, and communicate ideas.",Behavioral
Identity And Access Management,"Identity and access management relates to policies, practices and technologies within an organization that ensure the appropriate people have the access to the correct technological resources.",Technical
Immigration Law,"Immigration Law is the statutes, regulations, and legal precedents governing immigration into and deportation from a country.",Technical
Import/Export Logistics,Import/Export Logistics is coordinating the movement of goods or services traded across international borders.,Technical
Incident Response,"Incident Response refers to preparation for and mitigation of an emergency that interrupts business operations, including a natural disaster, cybersecurity breach, or industrial accident.",Technical
Income Tax,Income tax is a tax imposed on individuals or entities based on the income or profits earned by them by the governing body.,Technical
Infrastructure as Code (IaC),"Capability to automate and manage the organization's technology infrastructure using a method that relies on code rather than manual configuration, making the process more efficient and consistent.",Technical
Innovation,Capacity to use an analytical and creative ideation process intended to produce new goods or services or enhance existing goods or services.,Behavioral
Instructional Design,"Instructional design is the systematic design, development and delivery of instructional documentation and products with the goal of making them easy to understand.",Technical
Integrated Marketing Communications,Integrated marketing communications uses multiple strategies that reinforce each other to promote a message.,Technical
Internal Auditing,"Internal auditing is a structured approach to the evaluation and improvement of risk management, control and governance processes with the goal of enhancing an organization's operations.",Technical
Internal Communications,Internal communications requires effective communications among all levels of employees within a company with mindfulness to the content and delivery of messages.,Technical
Internal Controls,"Internal controls are prevention and detection activities intended to ensure business processes comply with internal policies, procedures, laws, and other regulations. They consist of control activities such as authorization, documentation, reconciliation, security, and the separation of duties.",Technical
International Taxation,International taxation is the determination of tax on an individual or business subject to the tax laws of a country other than the company's primary headquarters or person's primary residence.,Technical
International Trade,"International Trade refers to participating in the exchange of goods, services, or capital between nations or territories to meet global demand.",Technical
Inventory Control,"Inventory control is the management of a company's inventories, purchasing, shipping, receiving, tracking, warehousing, and storage.",Technical
Inventory Management System,"Inventory Management System is a computer application used to track inventory levels, orders, sales, and deliveries. In manufacturing, the software is used to create a work order, bill of materials, and other production-related documents.",Technical
Investigation,Investigation is a systematic examination of open questions or issues that includes gathering evidence and developing findings with the mindset to resolve an issue.,Technical
Investments,Investments refers to the practice of allocating funds or assets with the expectation of a future return or benefit.,Technical
Issue Tracking ,"Issue Tracking is software that manages and maintains issues. The system often encompass resource allocation, time accounting, priority management, and oversight workflow in addition to implementing a centralized issue registry.",Technical
It Governance,"Capability to assess and manage IT risks, monitor IT performance and controls, define IT policies and procedures, align IT strategies with business objectives, and ensure compliance with regulatory requirements to manage IT resources and support organizational goals effectively.",Technical
IT Infrastructure,"Capability to implement and manage the hardware, software, and network components of an organization's information technology operations to ensure they are reliable, secure, performant, and can support business operations and growth.",Technical
IT Risk Management ,"Capability to understand potential threats, vulnerabilities, and impacts on information technology systems and infrastructure and develop and implement risk assessment, risk treatment, and risk monitoring strategies to safeguard data, protect against cyber threats, and ensure business continuity.",Technical
IT Service Management,"Capability to design, implement, and manage a set of best practices, processes, and frameworks for effective and efficient delivery of IT services while aligning with business objectives, ensuring service quality, managing risks, and continuously improving service performance and satisfaction.",Technical
Job Analysis,"Job analysis is a method to identify the content of a job in terms of task, qualification, and requirements to fulfill the role.",Technical
Job Evaluation,Job evaluation is a systematic way of determining the value/worth of a job in relation to other jobs in an organization with the goal to guide appropriate pay for the contribution of the job to the organization.,Technical
Job Safety Analysis,Job safety analysis is a procedure which helps integrate accepted safety and health principles and practices into a particular task or job operation to present the safest way to perform the job.,Technical
Labor & Employment Law,"Labor & Employment Law refers to knowledge of the regulations that govern the relationship between employers, employees, and labor unions. Employment law is the section of laws that govern the relationship between an employee and their employer, including the rights and responsibilities of both parties.",Technical
Labor Relations,Labor Relations is the practice of managing the relationship between employers and employees to ensure compliance with a government’s laws or regulations regarding the treatment of employees.,Technical
Leadership Development,"Capability to use practices that help other individuals to perform in a leadership role in which it is necessary to facilitate the execution of a company’s strategy through building alignment, getting stakeholder buy-in, and growing the potential of others.",Technical
Lean Manufacturing,Lean Manufacturing is the application of lean principles to production planning/manufacturing to reduce inefficiencies and waste in processes and achieve faster response times between receiving orders and completion/delivery to customers.,Technical
Learning Management Systems,"Learning management systems are software applications used to administrate, document, track, report, automate and deliver educational courses, training programs, or learning and development programs.",Technical
Learning Strategies,"Capacity to use techniques and methods to help others acquire, retain, and apply new knowledge effectively.",Behavioral
Legal Research,"Legal Research is the knowledge of reviewing statutes, case law, regulations, or related sources to prepare for a brief or trial or to support a legal decision.",Technical
Litigation Strategy,Litigation Strategy is the process of designing a case and organizing evidence to achieve a successful result in a lawsuit.,Technical
Logistics Planning,Logistics Planning is a business activity to plan supply and transport resources and mitigate disruptions to meet inventory levels and market demand.,Technical
Management Information Systems,"A management information system provides coordination, control, analysis, and visualization of information in an organization.",Technical
Market Analysis,A market analysis is a structured investigation of a target market which is used to inform strategic planning activity.,Technical
Market Pricing,Market Pricing is the use of external compensation data to benchmark the relative worth of jobs and skills and inform talent management strategy.,Technical
Marketing Automation,"Marketing automation refers to software platforms and technologies designed to market on web sites, social media sites, and email platforms with automation for scheduling and repetitive tasks.",Technical
Material Requirements Planning,"Material requirements planning (MRP) is an inventory management system. It is used for production planning, scheduling, and inventory control.",Technical
Mathematical Optimization,Mathematical Optimization refers to knowledge of an analytical modeling methodology for determining an optimal outcome or solution based on a given set of objectives and constraints.,Technical
Mechanical Aptitude,"Capability to grasp mechanics concepts, spatial relationships, and physical principles to work with mechanical systems, devices, and tools.",Technical
Mechanical Engineering (Mechanical and Electromechanical Systems),"Mechanical engineering, a part of the overall engineering discipline, is a combination of mathematics, physics, and material science to design, analyze, manufacture, and maintain mechanical systems.",Technical
Mechanics,"Mechanics is designing, constructing, or repairing machinery or equipment with moving parts or assemblies.",Technical
Media Relations,"Media relations involves working with media to inform the public of an organization's mission, policies, practices and updates in a positive, consistent and credible manner.",Technical
Mediation,Mediation relates to a situation in which an unbiased third party assists in the resolution of a conflict between two other parties.,Technical
Motivational Leadership,"Capacity to inspire, encourage, and guide individuals or a group toward achieving their goals and objectives.",Behavioral
Multitasking,Capacity to perform more than one activity at one time.,Behavioral
Negotiation,Capacity to communicate and collaborate with others to reach mutually beneficial agreements or resolutions.,Behavioral
Network Security,"Network security consists of the policies, processes and practices adopted to prevent and monitor unauthorized access, misuse, modification, or denial of a computer network and network-accessible resources.",Technical
New Product Development,"New product development is the transformation of a market opportunity into a product available for sale by analyzing customer needs and wants, the competitive environment, and the nature of the market.",Technical
Online Advertising,Online advertising is a form of marketing and advertising that delivers promotional marketing messages to consumers over the internet.,Technical
Operating Systems,"Capability to implement, support, or use a software component that acts as an intermediary between hardware and software to ensure computers and software applications properly perform specific functions.",Technical
Operational Risk,Operational risk relates to the probability or danger that any actual losses differ from losses that were previously anticipated and planned for.,Technical
Organizational Architecture,"Organizational architecture or organization design is the creation of roles, processes, and formal reporting relationships in an organization.",Technical
Organizational Change,"Organizational change refers to a company's efforts to alter a significant component of its business, such as its culture, values, policies, internal processes, technologies, or operational infrastructure.",Technical
Organizational Development,"Organizational Development is a model for change that aims to improve an organization's performance through its people by aligning strategies, structures, people, rewards, metrics, and management processes. ",Technical
Organizational Effectiveness,Organizational effectiveness describes how effective an organization is in achieving the outcomes it intends to produce.,Technical
Oscilloscope (Test Equipment),"Oscilloscopes are electronic test instruments that graphically display varying signal voltages, usually as a calibrated to show a two-dimensional plot of one or more signals as a function of time.",Technical
Patch Management,"Patch Management is evaluating and applying fixes and upgrades to a software or computer program to correct issues with existing functionality, reduce known vulnerabilities, or introduce enhancements.",Technical
Payroll Processing,"Payroll Processing is the knowledge of how to calculate total wage earnings, withholding deductions, and filing payroll taxes to compensate employees for work completed.",Technical
Payroll Systems,"Payroll Systems manage processes responsible for paying employees and filing employment taxes. The system calculates wages, keeps track of withholding taxes, creates paychecks, and manages government employment taxes.",Technical
Payroll Tax,Payroll Tax refers to compulsory financial charges imposed on the wages and salaries of employees by a governmental organization to fund government spending.,Technical
Performance Management Strategy,Performance management strategy refers to the approach that is designed to define the processes and metrics that an organization uses to evaluate the achievement of goals and other performance-based objectives.,Technical
Persuasive Communication,"Capacity to alter or support beliefs held by other people, often within the context of negotiation.",Behavioral
Philanthropy,Philanthropy is the use of private resources to improve human welfare.,Technical
Physical Security,"Physical security is a set of measures designed to deny unauthorized access to facilities, equipment, and resources and protect staff and property from harm.",Technical
Predictive Modeling,Predictive modeling uses math and statistics to predict future events or outcomes utilizing past and/or current data.,Technical
Presentations,"Capacity to effectively convey information, ideas, or messages to an audience in a clear, engaging, and persuasive manner.",Behavioral
Preventive Maintenance,Preventive maintenance is the regular and routine maintenance of equipment and assets to ensure they continue to operate and prevent any unplanned downtime from unexpected equipment failure.,Technical
Prioritization,Capacity to analyze and arrange items or activities in order of relative importance.,Behavioral
Proactivity,Capacity to act in advance of a future situation rather than just reacting.,Behavioral
Process Improvement,"Process Improvement is systemically introducing enhancements and optimizations within a business process to improve performance, reach best practice standards, increase quality, or amplify user experience.",Technical
